target_shared_id,target_label_en,target_country_count,jurisdiction,product_id,product_name,target_local_labels,registration_use_count,source_record_count,pairing_status
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:15d60d075e8b92431bb50bd9,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:c719ef23a1e93b9656e56e2b,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:42c2d15631e47f394bfea307,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:2b5567e057d2afd586258315,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:ba152057557c20659cbe1647,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:f515905740c3a06cd2216ed4,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:b12f98e46b429eb3c27679aa,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:d03202f3b981e31528c49a5f,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:768198aaa6a459e5061a371f,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:655fd3f6f88383d6448e374a,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:b9e91a6b5881b1fed350437e,丙环唑,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:36b17d3c5e2235c851515fb2,丙硫·吡唑酯·噻虫胺,根腐病,1,1,official_pair_asserted
http://aims.fao.org/aos/agrovoc/c_16033,root rots,4,CN,CN:PRODUCT:386e14b8f4e4f4049111bc95,丙硫·咯菌腈·噻虫嗪,根腐病,1,1,official_pair_asserted
